 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 REACT:R-HSA-181438    Toll Like Receptor 2 (TLR2) Cascade
 REACT:R-HSA-182218    Nef Mediated CD8 Down-regulation
 REACT:R-HSA-182971    EGFR downregulation
 REACT:R-HSA-1834941    STING mediated induction of host immune responses
 REACT:R-HSA-1834949    Cytosolic sensors of pathogen-associated DNA
 REACT:R-HSA-1839117    Signaling by cytosolic FGFR1 fusion mutants
 REACT:R-HSA-1839120    Signaling by FGFR1 amplification mutants
 REACT:R-HSA-1839122    Signaling by activated point mutants of FGFR1
 REACT:R-HSA-1839124    FGFR1 mutant receptor activation
 REACT:R-HSA-1839126    FGFR2 mutant receptor activation
 REACT:R-HSA-1839128    FGFR4 mutant receptor activation
 REACT:R-HSA-1839130    Signaling by activated point mutants of FGFR3
 REACT:R-HSA-1852241    Organelle biogenesis and maintenance
 REACT:R-HSA-1855167    Synthesis of pyrophosphates in the cytosol
 REACT:R-HSA-1855183    "Synthesis of IP2  IP  and Ins in the cytosol"
 REACT:R-HSA-1855191    Synthesis of IPs in the nucleus
 REACT:R-HSA-1855204    Synthesis of IP3 and IP4 in the cytosol
 REACT:R-HSA-1855231    Synthesis of IPs in the ER lumen
 REACT:R-HSA-186712    Regulation of beta-cell development
 REACT:R-HSA-186763    Downstream signal transduction
 REACT:R-HSA-186797    Signaling by PDGF
 REACT:R-HSA-187015    Activation of TRKA receptors
 REACT:R-HSA-187024    NGF-independant TRKA activation
 REACT:R-HSA-187037    NGF signalling via TRKA from the plasma membrane
 REACT:R-HSA-187042    TRKA activation by NGF
 REACT:R-HSA-187577    SCF(Skp2)-mediated degradation of p27/p21
 REACT:R-HSA-187687    Signalling to ERKs
 REACT:R-HSA-187706    Signalling to p38 via RIT and RIN
 REACT:R-HSA-189085    Digestion of dietary carbohydrate
 REACT:R-HSA-189200    Hexose transport
 REACT:R-HSA-189445    Metabolism of porphyrins
 REACT:R-HSA-189451    Heme biosynthesis
 REACT:R-HSA-189483    Heme degradation
 REACT:R-HSA-190236    Signaling by FGFR
 REACT:R-HSA-190239    FGFR3 ligand binding and activation
 REACT:R-HSA-190241    FGFR2 ligand binding and activation
 REACT:R-HSA-190242    FGFR1 ligand binding and activation
 REACT:R-HSA-190322    FGFR4 ligand binding and activation
 REACT:R-HSA-190370    FGFR1b ligand binding and activation
 REACT:R-HSA-190371    FGFR3b ligand binding and activation
 REACT:R-HSA-190372    FGFR3c ligand binding and activation
 REACT:R-HSA-190373    FGFR1c ligand binding and activation
 REACT:R-HSA-190374    FGFR1c and Klotho ligand binding and activation
 REACT:R-HSA-190375    FGFR2c ligand binding and activation
 REACT:R-HSA-190377    FGFR2b ligand binding and activation
 REACT:R-HSA-190704    Oligomerization of connexins into connexons
 REACT:R-HSA-190827    Transport of connexins along the secretory pathway
 REACT:R-HSA-190828    Gap junction trafficking
 REACT:R-HSA-190840    Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
 REACT:R-HSA-190861    Gap junction assembly
 REACT:R-HSA-190872    Transport of connexons to the plasma membrane
 REACT:R-HSA-190873    Gap junction degradation
 REACT:R-HSA-1912399    Pre-NOTCH Processing in the Endoplasmic Reticulum
 REACT:R-HSA-1912408    Pre-NOTCH Transcription and Translation
 REACT:R-HSA-1912420    Pre-NOTCH Processing in Golgi
 REACT:R-HSA-1912422    Pre-NOTCH Expression and Processing
 REACT:R-HSA-191273    Cholesterol biosynthesis
 REACT:R-HSA-191647    c-src mediated regulation of Cx43 function and closure of gap junctions
 REACT:R-HSA-191650    Regulation of gap junction activity
 REACT:R-HSA-191859    snRNP Assembly
 REACT:R-HSA-192105    Synthesis of bile acids and bile salts
 REACT:R-HSA-192456    Digestion of dietary lipid
 REACT:R-HSA-192823    Viral mRNA Translation
 REACT:R-HSA-192905    vRNP Assembly
 REACT:R-HSA-193048    Androgen biosynthesis
 REACT:R-HSA-193144    Estrogen biosynthesis
 REACT:R-HSA-193368    Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
 REACT:R-HSA-193634    Axonal growth inhibition (RHOA activation)
 REACT:R-HSA-193639    p75NTR signals via NF-kB
 REACT:R-HSA-193648    NRAGE signals death through JNK
 REACT:R-HSA-193670    p75NTR negatively regulates cell cycle via SC1
 REACT:R-HSA-193681    Ceramide signalling
 REACT:R-HSA-193692    Regulated proteolysis of p75NTR
 REACT:R-HSA-193697    p75NTR regulates axonogenesis
 REACT:R-HSA-193704    p75 NTR receptor-mediated signalling
 REACT:R-HSA-193775    Synthesis of bile acids and bile salts via 24-hydroxycholesterol
 REACT:R-HSA-193807    Synthesis of bile acids and bile salts via 27-hydroxycholesterol
 REACT:R-HSA-193993    Mineralocorticoid biosynthesis
 REACT:R-HSA-194002    Glucocorticoid biosynthesis
 REACT:R-HSA-194068    Bile acid and bile salt metabolism
 REACT:R-HSA-194138    Signaling by VEGF
 REACT:R-HSA-194223    HDL-mediated lipid transport
 REACT:R-HSA-194306    Neurophilin interactions with VEGF and VEGFR
 REACT:R-HSA-194313    VEGF ligand-receptor interactions
 REACT:R-HSA-194315    Signaling by Rho GTPases
 REACT:R-HSA-194441    Metabolism of non-coding RNA
 REACT:R-HSA-194840    Rho GTPase cycle
 REACT:R-HSA-195253    Degradation of beta-catenin by the destruction complex
 REACT:R-HSA-195258    RHO GTPase Effectors
 REACT:R-HSA-195399    VEGF binds to VEGFR leading to receptor dimerization
 REACT:R-HSA-195721    Signaling by Wnt
 REACT:R-HSA-196025    Formation of annular gap junctions
 REACT:R-HSA-196071    Metabolism of steroid hormones
 REACT:R-HSA-196108    Pregnenolone biosynthesis
 REACT:R-HSA-196299    Beta-catenin phosphorylation cascade
 REACT:R-HSA-1963640    GRB2 events in ERBB2 signaling
 REACT:R-HSA-1963642    PI3K events in ERBB2 signaling
 REACT:R-HSA-196741    "Cobalamin (Cbl  vitamin B12) transport and metabolism"
 REACT:R-HSA-196757    Metabolism of folate and pterines
 REACT:R-HSA-196780    Biotin transport and metabolism
 REACT:R-HSA-196783    Coenzyme A biosynthesis
 REACT:R-HSA-196791    Vitamin D (calciferol) metabolism
 REACT:R-HSA-196807    Nicotinate metabolism
 REACT:R-HSA-196819    Vitamin B1 (thiamin) metabolism
 REACT:R-HSA-196836    Vitamin C (ascorbate) metabolism
 REACT:R-HSA-196843    Vitamin B2 (riboflavin) metabolism
 REACT:R-HSA-196849    Metabolism of water-soluble vitamins and cofactors
 REACT:R-HSA-196854    Metabolism of vitamins and cofactors
 REACT:R-HSA-1971475    A tetrasaccharide linker sequence is required for GAG synthesis
 REACT:R-HSA-197264    Nicotinamide salvaging
 REACT:R-HSA-1980143    Signaling by NOTCH1
 REACT:R-HSA-1980145    Signaling by NOTCH2
 REACT:R-HSA-1980148    Signaling by NOTCH3
 REACT:R-HSA-1980150    Signaling by NOTCH4
 REACT:R-HSA-198203    PI3K/AKT activation
 REACT:R-HSA-198323    AKT phosphorylates targets in the cytosol
 REACT:R-HSA-198693    AKT phosphorylates targets in the nucleus
 REACT:R-HSA-198725    Nuclear Events (kinase and transcription factor activation)
 REACT:R-HSA-198745    Signalling to STAT3
 REACT:R-HSA-198753    ERK/MAPK targets
 REACT:R-HSA-198765    Signalling to ERK5
 REACT:R-HSA-198933    Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
 REACT:R-HSA-1989781    PPARA activates gene expression
 REACT:R-HSA-199220    Vitamin B5 (pantothenate) metabolism
 REACT:R-HSA-199418    Negative regulation of the PI3K/AKT network
 REACT:R-HSA-199920    CREB phosphorylation
 REACT:R-HSA-199977    ER to Golgi Anterograde Transport
 REACT:R-HSA-199991    Membrane Trafficking
 REACT:R-HSA-199992    trans-Golgi Network Vesicle Budding
 REACT:R-HSA-200425    Import of palmitoyl-CoA into the mitochondrial matrix
 REACT:R-HSA-201451    Signaling by BMP
 REACT:R-HSA-201681    TCF dependent signaling in response to WNT
 REACT:R-HSA-201688    WNT mediated activation of DVL
 REACT:R-HSA-201722    Formation of the beta-catenin:TCF transactivating complex
 REACT:R-HSA-202040    G-protein activation
 REACT:R-HSA-202131    Metabolism of nitric oxide
 REACT:R-HSA-2022090    Assembly of collagen fibrils and other multimeric structures
 REACT:R-HSA-2022377    Metabolism of Angiotensinogen to Angiotensins
 REACT:R-HSA-2022854    Keratan sulfate biosynthesis
 REACT:R-HSA-2022857    Keratan sulfate degradation
 REACT:R-HSA-2022870    Chondroitin sulfate biosynthesis
 REACT:R-HSA-2022923    Dermatan sulfate biosynthesis
 REACT:R-HSA-2022928    HS-GAG biosynthesis
 REACT:R-HSA-2023837    Signaling by FGFR2 amplification mutants
 REACT:R-HSA-202403    TCR signaling
 REACT:R-HSA-2024096    HS-GAG degradation
 REACT:R-HSA-2024101    CS/DS degradation
 REACT:R-HSA-202424    Downstream TCR signaling
 REACT:R-HSA-202427    Phosphorylation of CD3 and TCR zeta chains
 REACT:R-HSA-202430    Translocation of ZAP-70 to Immunological synapse
 REACT:R-HSA-202433    Generation of second messenger molecules
 REACT:R-HSA-202670    ERKs are inactivated
 REACT:R-HSA-202733    Cell surface interactions at the vascular wall
 REACT:R-HSA-2028269    Signaling by Hippo
 REACT:R-HSA-2029480    Fcgamma receptor (FCGR) dependent phagocytosis
 REACT:R-HSA-2029481    FCGR activation
 REACT:R-HSA-2029482    Regulation of actin dynamics for phagocytic cup formation
 REACT:R-HSA-2029485    Role of phospholipids in phagocytosis
 REACT:R-HSA-2032785    YAP1- and WWTR1 (TAZ)-stimulated gene expression
 REACT:R-HSA-2033514    FGFR3 mutant receptor activation
 REACT:R-HSA-2033515    t(4;14) translocations of FGFR3
 REACT:R-HSA-2033519    Activated point mutants of FGFR2
 REACT:R-HSA-203615    eNOS activation
 REACT:R-HSA-203641    NOSTRIN mediated eNOS trafficking
 REACT:R-HSA-203754    NOSIP mediated eNOS trafficking
 REACT:R-HSA-203765    eNOS activation and regulation
 REACT:R-HSA-203927    MicroRNA (miRNA) biogenesis
 REACT:R-HSA-204005    COPII (Coat Protein 2) Mediated Vesicle Transport
 REACT:R-HSA-204174    Regulation of pyruvate dehydrogenase (PDH) complex
 REACT:R-HSA-2046104    alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
 REACT:R-HSA-2046105    Linoleic acid (LA) metabolism
 REACT:R-HSA-2046106    alpha-linolenic acid (ALA) metabolism
 REACT:R-HSA-204626    Hypusine synthesis from eIF5A-lysine
 REACT:R-HSA-204998    "Cell death signalling via NRAGE  NRIF and NADE"
 REACT:R-HSA-205017    NFG and proNGF binds to p75NTR
 REACT:R-HSA-205025    NADE modulates death signalling
 REACT:R-HSA-205043    NRIF signals cell death from the nucleus
 REACT:R-HSA-209543    p75NTR recruits signalling complexes
 REACT:R-HSA-209560    NF-kB is activated and signals survival
 REACT:R-HSA-209563    Axonal growth stimulation
 REACT:R-HSA-209776    Amine-derived hormones
 REACT:R-HSA-209822    Glycoprotein hormones
 REACT:R-HSA-209905    Catecholamine biosynthesis
 REACT:R-HSA-209931    Serotonin and melatonin biosynthesis
 REACT:R-HSA-209952    Peptide hormone biosynthesis
 REACT:R-HSA-209968    Thyroxine biosynthesis
 REACT:R-HSA-210455    Astrocytic Glutamate-Glutamine Uptake And Metabolism
 REACT:R-HSA-210500    Glutamate Neurotransmitter Release Cycle
 REACT:R-HSA-210744    Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
 REACT:R-HSA-210745    Regulation of gene expression in beta cells
 REACT:R-HSA-210746    Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
 REACT:R-HSA-210747    Regulation of gene expression in early pancreatic precursor cells
 REACT:R-HSA-210990    PECAM1 interactions
 REACT:R-HSA-210991    Basigin interactions
 REACT:R-HSA-210993    Tie2 Signaling
 REACT:R-HSA-211000    Gene Silencing by RNA
 REACT:R-HSA-211163    AKT-mediated inactivation of FOXO1A
 REACT:R-HSA-211227    Activation of DNA fragmentation factor
 REACT:R-HSA-211728    Regulation of PAK-2p34 activity by PS-GAP/RHG10
 REACT:R-HSA-211733    Regulation of activated PAK-2p34 by proteasome mediated degradation
 REACT:R-HSA-211736    Stimulation of the cell death response by PAK-2p34
 REACT:R-HSA-211859    Biological oxidations
 REACT:R-HSA-211897    Cytochrome P450 - arranged by substrate type
 REACT:R-HSA-211916    Vitamins
 REACT:R-HSA-211935    Fatty acids
 REACT:R-HSA-211945    Phase 1 - Functionalization of compounds
 REACT:R-HSA-211957    Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2
 REACT:R-HSA-211958    Miscellaneous substrates
 REACT:R-HSA-211976    Endogenous sterols
 REACT:R-HSA-211979    Eicosanoids
 REACT:R-HSA-211981    Xenobiotics
 REACT:R-HSA-211994    Sterols are 12-hydroxylated by CYP8B1
 REACT:R-HSA-211999    CYP2E1 reactions
 REACT:R-HSA-212165    Epigenetic regulation of gene expression
 REACT:R-HSA-2122947    NOTCH1 Intracellular Domain Regulates Transcription
 REACT:R-HSA-2122948    Activated NOTCH1 Transmits Signal to the Nucleus
 REACT:R-HSA-212300    PRC2 methylates histones and DNA
 REACT:R-HSA-212436    Generic Transcription Pathway
 REACT:R-HSA-212676    Dopamine Neurotransmitter Release Cycle
 REACT:R-HSA-212718    EGFR interacts with phospholipase C-gamma
 REACT:R-HSA-2129379    Molecules associated with elastic fibres
 REACT:R-HSA-2132295    MHC class II antigen presentation
 REACT:R-HSA-2142670    Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
 REACT:R-HSA-2142688    Synthesis of 5-eicosatetraenoic acids
 REACT:R-HSA-2142691    Synthesis of Leukotrienes (LT) and Eoxins (EX)
 REACT:R-HSA-2142696    Synthesis of Hepoxilins (HX) and Trioxilins (TrX)
 REACT:R-HSA-2142700    Synthesis of Lipoxins (LX)
 REACT:R-HSA-2142712    Synthesis of 12-eicosatetraenoic acid derivatives
 REACT:R-HSA-2142753    Arachidonic acid metabolism
 REACT:R-HSA-2142770    Synthesis of 15-eicosatetraenoic acid derivatives
 REACT:R-HSA-2142789    Ubiquinol biosynthesis
 REACT:R-HSA-2142816    Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
 REACT:R-HSA-2142845    Hyaluronan metabolism
 REACT:R-HSA-2142850    Hyaluronan biosynthesis and export
 REACT:R-HSA-2151201    Transcriptional activation of mitochondrial biogenesis
 REACT:R-HSA-2151209    Activation of PPARGC1A (PGC-1alpha) by phosphorylation
 REACT:R-HSA-216083    Integrin cell surface interactions
 REACT:R-HSA-2160916    Hyaluronan uptake and degradation
 REACT:R-HSA-2161517    Abacavir transmembrane transport
 REACT:R-HSA-2161522    Abacavir transport and metabolism
 REACT:R-HSA-2161541    Abacavir metabolism
 REACT:R-HSA-2162123    Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
 REACT:R-HSA-2168880    Scavenging of heme from plasma
 REACT:R-HSA-2172127    DAP12 interactions
 REACT:R-HSA-217271    FMO oxidises nucleophiles
 REACT:R-HSA-2173782    Binding and Uptake of Ligands by Scavenger Receptors
 REACT:R-HSA-2173788    Downregulation of TGF-beta receptor signaling
 REACT:R-HSA-2173789    TGF-beta receptor signaling activates SMADs
 REACT:R-HSA-2173791    TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
 REACT:R-HSA-2173793    Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
 REACT:R-HSA-2173795    Downregulation of SMAD2/3:SMAD4 transcriptional activity
 REACT:R-HSA-2173796    SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
 REACT:R-HSA-2179392    EGFR Transactivation by Gastrin
 REACT:R-HSA-2187335    The retinoid cycle in cones (daylight vision)
 REACT:R-HSA-2187338    Visual phototransduction
 REACT:R-HSA-2197563    NOTCH2 intracellular domain regulates transcription
 REACT:R-HSA-2214320    Anchoring fibril formation
 REACT:R-HSA-2219528    PI3K/AKT Signaling in Cancer
 REACT:R-HSA-2219530    Constitutive Signaling by Aberrant PI3K in Cancer
 REACT:R-HSA-2243919    Crosslinking of collagen fibrils
 REACT:R-HSA-2262749    Cellular response to hypoxia
 REACT:R-HSA-2262752    Cellular responses to stress
 REACT:R-HSA-2299718    Condensation of Prophase Chromosomes
 REACT:R-HSA-2393930    Phosphate bond hydrolysis by NUDT proteins
 REACT:R-HSA-2395516    Electron transport from NADPH to Ferredoxin
 REACT:R-HSA-2404192    Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
 REACT:R-HSA-2408508    "Metabolism of ingested SeMet  Sec  MeSec into H2Se"
 REACT:R-HSA-2408517    SeMet incorporation into proteins
 REACT:R-HSA-2408522    Selenoamino acid metabolism
 REACT:R-HSA-2408550    Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
 REACT:R-HSA-2408552    Methylation of MeSeH for excretion
 REACT:R-HSA-2408557    Selenocysteine synthesis
 REACT:R-HSA-2424491    DAP12 signaling
 REACT:R-HSA-2426168    Activation of gene expression by SREBF (SREBP)
 REACT:R-HSA-2428924    IGF1R signaling cascade
 REACT:R-HSA-2428928    IRS-related events triggered by IGF1R
 REACT:R-HSA-2428933    SHC-related events triggered by IGF1R
 REACT:R-HSA-2453864    Retinoid cycle disease events
 REACT:R-HSA-2453902    The canonical retinoid cycle in rods (twilight vision)
 REACT:R-HSA-2454202    Fc epsilon receptor (FCERI) signaling
 REACT:R-HSA-2465910    MASTL Facilitates Mitotic Progression
 REACT:R-HSA-2466712    "Biosynthesis of A2E  implicated in retinal degradation"
 REACT:R-HSA-2467813    Separation of Sister Chromatids
 REACT:R-HSA-2468052    Establishment of Sister Chromatid Cohesion
 REACT:R-HSA-2470946    Cohesin Loading onto Chromatin
 REACT:R-HSA-2473224    Antagonism of Activin by Follistatin
 REACT:R-HSA-2474795    Diseases associated with visual transduction
 REACT:R-HSA-2485179    Activation of the phototransduction cascade
 REACT:R-HSA-2500257    Resolution of Sister Chromatid Cohesion
 REACT:R-HSA-2514853    Condensation of Prometaphase Chromosomes
 REACT:R-HSA-2514856    The phototransduction cascade
 REACT:R-HSA-2514859    "Inactivation  recovery and regulation of the phototransduction cascade"
 REACT:R-HSA-2534343    Interaction With Cumulus Cells
 REACT:R-HSA-2555396    Mitotic Metaphase and Anaphase
 REACT:R-HSA-2559580    Oxidative Stress Induced Senescence
 REACT:R-HSA-2559582    Senescence-Associated Secretory Phenotype (SASP)
 REACT:R-HSA-2559583    Cellular Senescence
 REACT:R-HSA-2559584    Formation of Senescence-Associated Heterochromatin Foci (SAHF)
 REACT:R-HSA-2559585    Oncogene Induced Senescence
 REACT:R-HSA-2559586    DNA Damage/Telomere Stress Induced Senescence
 REACT:R-HSA-2562578    TRIF-mediated programmed cell death
 REACT:R-HSA-2564830    Cytosolic iron-sulfur cluster assembly
 REACT:R-HSA-2565942    Regulation of PLK1 Activity at G2/M Transition
 REACT:R-HSA-2586552    Signaling by Leptin
 REACT:R-HSA-2644602    Signaling by NOTCH1 PEST Domain Mutants in Cancer
 REACT:R-HSA-2644603    Signaling by NOTCH1 in Cancer
 REACT:R-HSA-2644605    FBXW7 Mutants and NOTCH1 in Cancer
 REACT:R-HSA-2644606    Constitutive Signaling by NOTCH1 PEST Domain Mutants
 REACT:R-HSA-2644607    Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling
 REACT:R-HSA-264642    Acetylcholine Neurotransmitter Release Cycle
 REACT:R-HSA-264870    Caspase-mediated cleavage of cytoskeletal proteins
 REACT:R-HSA-264876    Insulin processing
 REACT:R-HSA-265473    Trafficking of dietary sterols
 REACT:R-HSA-2660825    Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
 REACT:R-HSA-2660826    Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
 REACT:R-HSA-2672351    Stimuli-sensing channels
 REACT:R-HSA-2682334    EPH-Ephrin signaling
 REACT:R-HSA-2691230    Signaling by NOTCH1 HD Domain Mutants in Cancer
 REACT:R-HSA-2691232    Constitutive Signaling by NOTCH1 HD Domain Mutants
 REACT:R-HSA-2730905    Role of LAT2/NTAL/LAB on calcium mobilization
 REACT:R-HSA-2855086    Ficolins bind to repetitive carbohydrate structures on the target cell surface
 REACT:R-HSA-2871796    FCERI mediated MAPK activation
 REACT:R-HSA-2871809    FCERI mediated Ca+2 mobilization
 REACT:R-HSA-2871837    FCERI mediated NF-kB activation
 REACT:R-HSA-2892245    "POU5F1 (OCT4)  SOX2  NANOG repress genes related to differentiation"
 REACT:R-HSA-2892247    "POU5F1 (OCT4)  SOX2  NANOG activate genes related to proliferation"
 REACT:R-HSA-2894858    Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
 REACT:R-HSA-2894862    Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
 REACT:R-HSA-2978092    Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate
 REACT:R-HSA-2979096    NOTCH2 Activation and Transmission of Signal to the Nucleus
 REACT:R-HSA-2980736    Peptide hormone metabolism
 REACT:R-HSA-2980766    Nuclear Envelope Breakdown
 REACT:R-HSA-2980767    "Activation of NIMA Kinases NEK9  NEK6  NEK7"
 REACT:R-HSA-2990846    SUMOylation
 REACT:R-HSA-2993913    Clearance of Nuclear Envelope Membranes from Chromatin
 REACT:R-HSA-2995383    Initiation of Nuclear Envelope Reformation
 REACT:R-HSA-2995410    Nuclear Envelope Reassembly
 REACT:R-HSA-3000157    Laminin interactions
 REACT:R-HSA-3000170    Syndecan interactions
 REACT:R-HSA-3000171    Non-integrin membrane-ECM interactions
 REACT:R-HSA-3000178    ECM proteoglycans
 REACT:R-HSA-3000471    Scavenging by Class B Receptors
 REACT:R-HSA-3000480    Scavenging by Class A Receptors
 REACT:R-HSA-3000484    Scavenging by Class F Receptors
 REACT:R-HSA-3000497    Scavenging by Class H Receptors
 REACT:R-HSA-3065676    SUMO is conjugated to E1 (UBA2:SAE1)
 REACT:R-HSA-3065678    "SUMO is transferred from E1 to E2 (UBE2I  UBC9)"
 REACT:R-HSA-3065679    SUMO is proteolytically processed
 REACT:R-HSA-3108214    SUMOylation of DNA damage response and repair proteins
 REACT:R-HSA-3108232    SUMO E3 ligases SUMOylate target proteins
 REACT:R-HSA-3134963    DEx/H-box helicases activate type I IFN and inflammatory cytokines production
 REACT:R-HSA-3134973    LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production
 REACT:R-HSA-3134975    Regulation of innate immune responses to cytosolic DNA
 REACT:R-HSA-3214815    HDACs deacetylate histones
 REACT:R-HSA-3214841    PKMTs methylate histone lysines
 REACT:R-HSA-3214842    HDMs demethylate histones
 REACT:R-HSA-3214847    HATs acetylate histones
 REACT:R-HSA-3214858    RMTs methylate histone arginines
 REACT:R-HSA-3215018    Processing and activation of SUMO
 REACT:R-HSA-3229121    Glycogen storage diseases
 REACT:R-HSA-3232118    SUMOylation of transcription factors
 REACT:R-HSA-3238698    WNT ligand biogenesis and trafficking
 REACT:R-HSA-3247509    Chromatin modifying enzymes
 REACT:R-HSA-3248023    Regulation by TREX1
 REACT:R-HSA-3249367    STAT6-mediated induction of chemokines
 REACT:R-HSA-3270619    IRF3-mediated induction of type I IFN
 REACT:R-HSA-3295583    TRP channels
 REACT:R-HSA-3296197    Hydroxycarboxylic acid-binding receptors
 REACT:R-HSA-3296469    Defects in cobalamin (B12) metabolism
 REACT:R-HSA-3296482    Defects in vitamin and cofactor metabolism
 REACT:R-HSA-3299685    Detoxification of Reactive Oxygen Species
 REACT:R-HSA-3301854    Nuclear Pore Complex (NPC) Disassembly
 REACT:R-HSA-3304347    Loss of Function of SMAD4 in Cancer
 REACT:R-HSA-3304349    Loss of Function of SMAD2/3 in Cancer
 REACT:R-HSA-3304351    Signaling by TGF-beta Receptor Complex in Cancer
 REACT:R-HSA-3304356    SMAD2/3 Phosphorylation Motif Mutants in Cancer
 REACT:R-HSA-3311021    SMAD4 MH2 Domain Mutants in Cancer
 REACT:R-HSA-3315487    SMAD2/3 MH2 Domain Mutants in Cancer
 REACT:R-HSA-3322077    Glycogen synthesis
 REACT:R-HSA-3323169    Defects in biotin (Btn) metabolism
 REACT:R-HSA-3359454    Defective TCN2 causes hereditary megaloblastic anemia
 REACT:R-HSA-3359457    Defective GIF causes intrinsic factor deficiency
 REACT:R-HSA-3359462    Defective AMN causes hereditary megaloblastic anemia 1
 REACT:R-HSA-3359463    Defective CUBN causes hereditary megaloblastic anemia 1
 REACT:R-HSA-3359467    Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
 REACT:R-HSA-3359469    Defective MTR causes methylmalonic aciduria and homocystinuria type cblG
 REACT:R-HSA-3359473    Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD
 REACT:R-HSA-3359474    Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC
 REACT:R-HSA-3359475    Defective MMAA causes methylmalonic aciduria type cblA
 REACT:R-HSA-3359478    Defective MUT causes methylmalonic aciduria mut type
 REACT:R-HSA-3359485    Defective CD320 causes methylmalonic aciduria
 REACT:R-HSA-3371378    Regulation by c-FLIP
 REACT:R-HSA-3371453    Regulation of HSF1-mediated heat shock response
 REACT:R-HSA-3371511    HSF1 activation
 REACT:R-HSA-3371556    Cellular response to heat stress
 REACT:R-HSA-3371568    Attenuation phase
 REACT:R-HSA-3371571    HSF1-dependent transactivation
 REACT:R-HSA-3371599    Defective HLCS causes multiple carboxylase deficiency
 REACT:R-HSA-349425    Autodegradation of the E3 ubiquitin ligase COP1
 REACT:R-HSA-350054    Notch-HLH transcription pathway
 REACT:R-HSA-350562    Regulation of ornithine decarboxylase (ODC)
 REACT:R-HSA-350864    Regulation of thyroid hormone activity
 REACT:R-HSA-351143    Agmatine biosynthesis
 REACT:R-HSA-351200    Interconversion of polyamines
 REACT:R-HSA-351202    Metabolism of polyamines
 REACT:R-HSA-351906    Apoptotic cleavage of cell adhesion  proteins
 REACT:R-HSA-352230    Amino acid transport across the plasma membrane
 REACT:R-HSA-352238    Breakdown of the nuclear lamina
 REACT:R-HSA-354192    Integrin alphaIIb beta3 signaling
 REACT:R-HSA-354194    GRB2:SOS provides linkage to MAPK signaling for Integrins
 REACT:R-HSA-3560782    Diseases associated with glycosaminoglycan metabolism
 REACT:R-HSA-3560783    "Defective B4GALT7 causes EDS  progeroid type"
 REACT:R-HSA-3560801    Defective B3GAT3 causes JDSSDHD
 REACT:R-HSA-3595172    Defective CHST3 causes SEDCJD
 REACT:R-HSA-3595174    "Defective CHST14 causes EDS  musculocontractural type"
 REACT:R-HSA-3595177    Defective CHSY1 causes TPBS
 REACT:R-HSA-3642278    Loss of Function of TGFBR2 in Cancer
 REACT:R-HSA-3642279    TGFBR2 MSI Frameshift Mutants in Cancer
 REACT:R-HSA-3645790    TGFBR2 Kinase Domain Mutants in Cancer
 REACT:R-HSA-3656225    Defective CHST6 causes MCDC1
 REACT:R-HSA-3656237    Defective EXT2 causes exostoses 2
 REACT:R-HSA-3656243    Defective ST3GAL3 causes MCT12 and EIEE15
 REACT:R-HSA-3656244    Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)
 REACT:R-HSA-3656253    "Defective EXT1 causes exostoses 1  TRPS2 and CHDS"
 REACT:R-HSA-3656532    TGFBR1 KD Mutants in Cancer
 REACT:R-HSA-3656534    Loss of Function of TGFBR1 in Cancer
 REACT:R-HSA-3656535    TGFBR1 LBD Mutants in Cancer
 REACT:R-HSA-3700989    Transcriptional Regulation by TP53
 REACT:R-HSA-372708    p130Cas linkage to MAPK signaling for integrins
 REACT:R-HSA-372790    Signaling by GPCR
 REACT:R-HSA-373076    Class A/1 (Rhodopsin-like receptors)
 REACT:R-HSA-373080    Class B/2 (Secretin family receptors)
 REACT:R-HSA-373752    Netrin-1 signaling
