39.723 number of GO processes
16.6302 GO:0007601	 visual perception
1.72474 GO:0003117	 regulation of vasoconstriction by circulating norepinephrine
1.72474 GO:0003106	 negative regulation of glomerular filtration by angiotensin
1.72474 GO:0003097	 renal water transport
1.72474 GO:0003092	 renal water retention
1.72474 GO:0003069	 acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
1.72474 GO:0003065	 positive regulation of heart rate by epinephrine
1.72474 GO:0003057	 regulation of the force of heart contraction by chemical signal
1.72474 GO:0003029	 detection of hypoxic conditions in blood by carotid body chemoreceptor signaling
1.72474 GO:0003011	 involuntary skeletal muscle contraction
1.72474 GO:0002930	 trabecular meshwork development
1.72474 GO:0002897	 positive regulation of central B cell tolerance induction
1.72474 GO:0002876	 positive regulation of chronic inflammatory response to antigenic stimulus
1.72474 GO:0002875	 negative regulation of chronic inflammatory response to antigenic stimulus
1.72474 GO:0002851	 positive regulation of peripheral T cell tolerance induction
1.72474 GO:0002839	 positive regulation of immune response to tumor cell
1.72474 GO:0002828	 regulation of type 2 immune response
1.72474 GO:0002815	 biosynthetic process of antibacterial peptides active against Gram-positive bacteria
1.72474 GO:0002812	 biosynthetic process of antibacterial peptides active against Gram-negative bacteria
1.72474 GO:0002787	 negative regulation of antibacterial peptide production
1.72474 GO:0002762	 negative regulation of myeloid leukocyte differentiation
1.72474 GO:0002731	 negative regulation of dendritic cell cytokine production
1.72474 GO:0002728	 negative regulation of natural killer cell cytokine production
1.72474 GO:0002721	 regulation of B cell cytokine production
1.72474 GO:0002711	 positive regulation of T cell mediated immunity
1.72474 GO:0002692	 negative regulation of cellular extravasation
1.72474 GO:0002684	 positive regulation of immune system process
1.72474 GO:0002683	 negative regulation of immune system process
1.72474 GO:0002676	 regulation of chronic inflammatory response
1.72474 GO:0002664	 regulation of T cell tolerance induction
1.72474 GO:0002663	 positive regulation of B cell tolerance induction
1.72474 GO:0002652	 regulation of tolerance induction dependent upon immune response
1.72474 GO:0002651	 positive regulation of tolerance induction to self antigen
1.72474 GO:0002625	 regulation of T cell antigen processing and presentation
1.72474 GO:0002622	 regulation of B cell antigen processing and presentation
1.72474 GO:0002574	 thrombocyte differentiation
1.72474 GO:0002566	 somatic diversification of immune receptors via somatic mutation
1.72474 GO:0002552	 serotonin secretion by mast cell
1.72474 GO:0002524	 hypersensitivity
1.72474 GO:0002521	 leukocyte differentiation
1.72474 GO:0002517	 T cell tolerance induction
1.72474 GO:0002509	 central tolerance induction to self antigen
1.72474 GO:0002508	 central tolerance induction
1.72474 GO:0002503	 peptide antigen assembly with MHC class II protein complex
1.72474 GO:0002489	 antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent
1.72474 GO:0002485	 antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent
1.72474 GO:0002479	 antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
1.72474 GO:0002458	 peripheral T cell tolerance induction
1.72474 GO:0002447	 eosinophil mediated immunity
1.72474 GO:0002443	 leukocyte mediated immunity
1.72474 GO:0002436	 immune complex clearance by monocytes and macrophages
1.72474 GO:0002435	 immune complex clearance by erythrocytes
1.72474 GO:0002432	 granuloma formation
1.72474 GO:0002398	 MHC class Ib protein complex assembly
1.72474 GO:0002383	 immune response in brain or nervous system
1.72474 GO:0002363	 alpha-beta T cell lineage commitment
1.72474 GO:0002362	 CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment
1.72474 GO:0002335	 mature B cell differentiation
1.72474 GO:0002334	 transitional two stage B cell differentiation
1.72474 GO:0002333	 transitional one stage B cell differentiation
1.72474 GO:0002329	 pre-B cell differentiation
1.72474 GO:0002296	 T-helper 1 cell lineage commitment
1.72474 GO:0002280	 monocyte activation involved in immune response
1.72474 GO:0002274	 myeloid leukocyte activation
1.72474 GO:0002273	 plasmacytoid dendritic cell differentiation
1.72474 GO:0002266	 follicular dendritic cell activation
1.72474 GO:0002263	 cell activation involved in immune response
1.72474 GO:0002253	 activation of immune response
1.72474 GO:0002251	 organ or tissue specific immune response
1.72474 GO:0002238	 response to molecule of fungal origin
1.72474 GO:0002222	 stimulatory killer cell immunoglobulin-like receptor signaling pathway
1.72474 GO:0002209	 behavioral defense response
1.72474 GO:0002204	 somatic recombination of immunoglobulin genes involved in immune response
1.72474 GO:0002152	 bile acid conjugation
1.72474 GO:0002149	 hypochlorous acid biosynthetic process
1.72474 GO:0002127	 tRNA wobble base cytosine methylation
1.72474 GO:0002077	 acrosome matrix dispersal
1.72474 GO:0002019	 regulation of renal output by angiotensin
1.72474 GO:0002016	 regulation of blood volume by renin-angiotensin
1.72474 GO:0001998	 angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure
1.72474 GO:0001980	 regulation of systemic arterial blood pressure by ischemic conditions
1.72474 GO:0001910	 regulation of leukocyte mediated cytotoxicity
1.72474 GO:0001909	 leukocyte mediated cytotoxicity
1.72474 GO:0001814	 negative regulation of antibody-dependent cellular cytotoxicity
1.72474 GO:0001812	 positive regulation of type I hypersensitivity
1.72474 GO:0001811	 negative regulation of type I hypersensitivity
1.72474 GO:0001809	 positive regulation of type IV hypersensitivity
1.72474 GO:0001806	 type IV hypersensitivity
1.72474 GO:0001777	 T cell homeostatic proliferation
1.72474 GO:0001766	 membrane raft polarization
1.72474 GO:0001698	 gastrin-induced gastric acid secretion
1.72474 GO:0001695	 histamine catabolic process
1.72474 GO:0001680	 tRNA 3'-terminal CCA addition
1.72474 GO:0001576	 globoside biosynthetic process
1.72474 GO:0001545	 primary ovarian follicle growth
1.72474 GO:0001543	 ovarian follicle rupture
1.72474 GO:0001112	 DNA-templated transcription open complex formation
1.72474 GO:0001080	 nitrogen catabolite activation of transcription from RNA polymerase II promoter
1.72474 GO:0000921	 septin ring assembly
1.72474 GO:0000916	 actomyosin contractile ring contraction
1.72474 GO:0000821	 regulation of arginine metabolic process
1.72474 GO:0000732	 strand displacement
1.72474 GO:0000718	 nucleotide-excision repair, DNA damage removal
1.72474 GO:0000717	 nucleotide-excision repair, DNA duplex unwinding
1.72474 GO:0000715	 nucleotide-excision repair, DNA damage recognition
1.72474 GO:0000710	 meiotic mismatch repair
1.72474 GO:0000709	 meiotic joint molecule formation
1.72474 GO:0000707	 meiotic DNA recombinase assembly
1.72474 GO:0000415	 negative regulation of histone H3-K36 methylation
1.72474 GO:0000388	 spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
1.72474 GO:0000305	 response to oxygen radical
1.72474 GO:0000053	 argininosuccinate metabolic process
1.72474 GO:0000019	 regulation of mitotic recombination
1.72474 GO:0000017	 alpha-glucoside transport
1.72329 GO:0051281	 positive regulation of release of sequestered calcium ion into cytosol
1.72329 GO:0045736	 negative regulation of cyclin-dependent protein serine/threonine kinase activity
1.72329 GO:0006284	 base-excision repair
1.71397 GO:0071577	 zinc ion transmembrane transport
1.71397 GO:0050965	 detection of temperature stimulus involved in sensory perception of pain
1.71397 GO:0048665	 neuron fate specification
1.71397 GO:0048490	 anterograde synaptic vesicle transport
1.71397 GO:0046855	 inositol phosphate dephosphorylation
1.71397 GO:0043011	 myeloid dendritic cell differentiation
1.71397 GO:0034497	 protein localization to phagophore assembly site
1.71397 GO:0034389	 lipid droplet organization
1.71397 GO:0030194	 positive regulation of blood coagulation
1.71397 GO:0019886	 antigen processing and presentation of exogenous peptide antigen via MHC class II
1.71397 GO:0008156	 negative regulation of DNA replication
1.71397 GO:0007051	 spindle organization
1.71058 GO:0045776	 negative regulation of blood pressure
1.71058 GO:0002230	 positive regulation of defense response to virus by host
1.70286 GO:0090023	 positive regulation of neutrophil chemotaxis
1.70286 GO:0051453	 regulation of intracellular pH
1.70286 GO:0044782	 cilium organization
1.70286 GO:0019934	 cGMP-mediated signaling
1.70286 GO:0010906	 regulation of glucose metabolic process
1.70286 GO:0001954	 positive regulation of cell-matrix adhesion
1.7026 GO:2000251	 positive regulation of actin cytoskeleton reorganization
1.7026 GO:1900227	 positive regulation of NLRP3 inflammasome complex assembly
1.7026 GO:0097202	 activation of cysteine-type endopeptidase activity
1.7026 GO:0060976	 coronary vasculature development
1.7026 GO:0019226	 transmission of nerve impulse
1.7026 GO:0000038	 very long-chain fatty acid metabolic process
1.69945 GO:0031532	 actin cytoskeleton reorganization
1.68714 GO:0034198	 cellular response to amino acid starvation
1.68064 GO:0001558	 regulation of cell growth
1.66938 GO:0007338	 single fertilization
1.66612 GO:0030512	 negative regulation of transforming growth factor beta receptor signaling pathway
1.66061 GO:0042177	 negative regulation of protein catabolic process
1.65674 GO:2001225	 regulation of chloride transport
1.65674 GO:2001027	 negative regulation of endothelial cell chemotaxis
1.65674 GO:2000676	 positive regulation of type B pancreatic cell apoptotic process
1.65674 GO:2000670	 positive regulation of dendritic cell apoptotic process
1.65674 GO:2000635	 negative regulation of primary miRNA processing
1.65674 GO:2000583	 regulation of platelet-derived growth factor receptor-alpha signaling pathway
1.65674 GO:2000564	 regulation of CD8-positive, alpha-beta T cell proliferation
1.65674 GO:2000546	 positive regulation of endothelial cell chemotaxis to fibroblast growth factor
1.65674 GO:2000363	 positive regulation of prostaglandin-E synthase activity
1.65674 GO:2000348	 regulation of CD40 signaling pathway
1.65674 GO:2000341	 regulation of chemokine (C-X-C motif) ligand 2 production
1.65674 GO:2000329	 negative regulation of T-helper 17 cell lineage commitment
1.65674 GO:2000252	 negative regulation of feeding behavior
1.65674 GO:2000170	 positive regulation of peptidyl-cysteine S-nitrosylation
1.65674 GO:2000138	 positive regulation of cell proliferation involved in heart morphogenesis
1.65674 GO:2000111	 positive regulation of macrophage apoptotic process
1.65674 GO:1990926	 short-term synaptic potentiation
1.65674 GO:1990834	 response to odorant
1.65674 GO:1990408	 calcitonin gene-related peptide receptor signaling pathway
1.65674 GO:1990402	 embryonic liver development
1.65674 GO:1990108	 protein linear deubiquitination
1.65674 GO:1990048	 anterograde neuronal dense core vesicle transport
1.65674 GO:1990034	 calcium ion export across plasma membrane
1.65674 GO:1990001	 inhibition of cysteine-type endopeptidase activity involved in apoptotic process
1.65674 GO:1905897	 regulation of response to endoplasmic reticulum stress
1.65674 GO:1905786	 positive regulation of anaphase-promoting complex-dependent catabolic process
1.65674 GO:1905776	 positive regulation of DNA helicase activity
1.65674 GO:1905634	 regulation of protein localization to chromatin
1.65674 GO:1905581	 positive regulation of low-density lipoprotein particle clearance
1.65674 GO:1905460	 negative regulation of vascular associated smooth muscle cell apoptotic process
1.65674 GO:1905451	 positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis
1.65674 GO:1905278	 positive regulation of epithelial tube formation
1.65674 GO:1905036	 positive regulation of antifungal innate immune response
1.65674 GO:1904954	 canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation
1.65674 GO:1904845	 cellular response to L-glutamine
1.65674 GO:1904715	 negative regulation of chaperone-mediated autophagy
1.65674 GO:1904693	 midbrain morphogenesis
1.65674 GO:1904692	 positive regulation of type B pancreatic cell proliferation
1.65674 GO:1904669	 ATP export
1.65674 GO:1904637	 cellular response to ionomycin
1.65674 GO:1904526	 regulation of microtubule binding
1.65674 GO:1904486	 response to 17alpha-ethynylestradiol
1.65674 GO:1904431	 positive regulation of t-circle formation
1.65674 GO:1904161	 DNA synthesis involved in UV-damage excision repair
1.65674 GO:1904100	 positive regulation of protein O-linked glycosylation
1.65674 GO:1904059	 regulation of locomotor rhythm
1.65674 GO:1904030	 negative regulation of cyclin-dependent protein kinase activity
1.65674 GO:1903997	 positive regulation of non-membrane spanning protein tyrosine kinase activity
1.65674 GO:1903984	 positive regulation of TRAIL-activated apoptotic signaling pathway
1.65674 GO:1903852	 positive regulation of cristae formation
1.65674 GO:1903804	 glycine import across plasma membrane
1.65674 GO:1903766	 positive regulation of potassium ion export across plasma membrane
1.65674 GO:1903765	 negative regulation of potassium ion export across plasma membrane
1.65674 GO:1903712	 cysteine transmembrane transport
1.65674 GO:1903660	 negative regulation of complement-dependent cytotoxicity
1.65674 GO:1903565	 negative regulation of protein localization to cilium
1.65674 GO:1903392	 negative regulation of adherens junction organization
1.65674 GO:1903061	 positive regulation of protein lipidation
1.65674 GO:1902991	 regulation of amyloid precursor protein catabolic process
1.65674 GO:1902958	 positive regulation of mitochondrial electron transport, NADH to ubiquinone
1.65674 GO:1902951	 negative regulation of dendritic spine maintenance
1.65674 GO:1902950	 regulation of dendritic spine maintenance
1.65674 GO:1902948	 negative regulation of tau-protein kinase activity
1.65674 GO:1902856	 negative regulation of non-motile cilium assembly
1.65674 GO:1902692	 regulation of neuroblast proliferation
1.65674 GO:1902564	 negative regulation of neutrophil activation
1.65674 GO:1902373	 negative regulation of mRNA catabolic process
1.65674 GO:1902339	 positive regulation of apoptotic process involved in morphogenesis
1.65674 GO:1902263	 apoptotic process involved in embryonic digit morphogenesis
1.65674 GO:1902261	 positive regulation of delayed rectifier potassium channel activity
1.65674 GO:1902033	 regulation of hematopoietic stem cell proliferation
1.65674 GO:1901874	 negative regulation of post-translational protein modification
1.65674 GO:1901647	 positive regulation of synoviocyte proliferation
1.65674 GO:1901620	 regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
1.65674 GO:1901534	 positive regulation of hematopoietic progenitor cell differentiation
1.65674 GO:1901533	 negative regulation of hematopoietic progenitor cell differentiation
1.65674 GO:1901491	 negative regulation of lymphangiogenesis
1.65674 GO:1901078	 negative regulation of relaxation of muscle
1.65674 GO:1900449	 regulation of glutamate receptor signaling pathway
1.65674 GO:1900195	 positive regulation of oocyte maturation
1.65674 GO:1900164	 nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry
1.65674 GO:1900159	 positive regulation of bone mineralization involved in bone maturation
1.65674 GO:1900114	 positive regulation of histone H3-K9 trimethylation
1.65674 GO:1900100	 positive regulation of plasma cell differentiation
1.65674 GO:1900063	 regulation of peroxisome organization
1.65674 GO:0150064	 vertebrate eye-specific patterning
1.65674 GO:0150052	 regulation of postsynapse assembly
1.65674 GO:0140650	 radial glia-guided pyramidal neuron migration
1.65674 GO:0140252	 regulation protein catabolic process at postsynapse
1.65674 GO:0120197	 mucociliary clearance
1.65674 GO:0120188	 regulation of bile acid secretion
1.65674 GO:0110053	 regulation of actin filament organization
1.65674 GO:0110024	 positive regulation of cardiac muscle myoblast proliferation
1.65674 GO:0106383	 dAMP salvage
1.65674 GO:0106071	 positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway
1.65674 GO:0099625	 ventricular cardiac muscle cell membrane repolarization
1.65674 GO:0099185	 postsynaptic intermediate filament cytoskeleton organization
1.65674 GO:0099150	 regulation of postsynaptic specialization assembly
1.65674 GO:0098904	 regulation of AV node cell action potential
1.65674 GO:0098838	 folate transmembrane transport
1.65674 GO:0098528	 skeletal muscle fiber differentiation
1.65674 GO:0097531	 mast cell migration
1.65674 GO:0097477	 lateral motor column neuron migration
1.65674 GO:0097305	 response to alcohol
1.65674 GO:0097254	 renal tubular secretion
1.65674 GO:0097051	 establishment of protein localization to endoplasmic reticulum membrane
1.65674 GO:0097039	 protein linear polyubiquitination
1.65674 GO:0090559	 regulation of membrane permeability
1.65674 GO:0090500	 endocardial cushion to mesenchymal transition
1.65674 GO:0090461	 cellular glutamate homeostasis
1.65674 GO:0090325	 regulation of locomotion involved in locomotory behavior
1.65674 GO:0090311	 regulation of protein deacetylation
1.65674 GO:0090188	 negative regulation of pancreatic juice secretion
1.65674 GO:0090170	 regulation of Golgi inheritance
1.65674 GO:0090042	 tubulin deacetylation
1.65674 GO:0086048	 membrane depolarization during bundle of His cell action potential
1.65674 GO:0080154	 regulation of fertilization
1.65674 GO:0072539	 T-helper 17 cell differentiation
1.65674 GO:0072350	 tricarboxylic acid metabolic process
1.65674 GO:0072300	 positive regulation of metanephric glomerulus development
1.65674 GO:0072278	 metanephric comma-shaped body morphogenesis
1.65674 GO:0072277	 metanephric glomerular capillary formation
1.65674 GO:0072161	 mesenchymal cell differentiation involved in kidney development
1.65674 GO:0072136	 metanephric mesenchymal cell proliferation involved in metanephros development
1.65674 GO:0072095	 regulation of branch elongation involved in ureteric bud branching
1.65674 GO:0072034	 renal vesicle induction
1.65674 GO:0072014	 proximal tubule development
1.65674 GO:0071932	 replication fork reversal
1.65674 GO:0071931	 positive regulation of transcription involved in G1/S transition of mitotic cell cycle
1.65674 GO:0071864	 positive regulation of cell proliferation in bone marrow
1.65674 GO:0071731	 response to nitric oxide
1.65674 GO:0071727	 cellular response to triacyl bacterial lipopeptide
1.65674 GO:0071709	 membrane assembly
1.65674 GO:0071635	 negative regulation of transforming growth factor beta production
1.65674 GO:0071630	 nuclear protein quality control by the ubiquitin-proteasome system
1.65674 GO:0071593	 lymphocyte aggregation
1.65674 GO:0071557	 histone H3-K27 demethylation
1.65674 GO:0071494	 cellular response to UV-C
1.65674 GO:0071464	 cellular response to hydrostatic pressure
1.65674 GO:0071453	 cellular response to oxygen levels
1.65674 GO:0071400	 cellular response to oleic acid
1.65674 GO:0071284	 cellular response to lead ion
1.65674 GO:0071279	 cellular response to cobalt ion
1.65674 GO:0071248	 cellular response to metal ion
1.65674 GO:0071221	 cellular response to bacterial lipopeptide
1.65674 GO:0070944	 neutrophil-mediated killing of bacterium
1.65674 GO:0070901	 mitochondrial tRNA methylation
1.65674 GO:0070670	 response to interleukin-4
1.65674 GO:0070669	 response to interleukin-2
1.65674 GO:0070667	 negative regulation of mast cell proliferation
1.65674 GO:0070561	 vitamin D receptor signaling pathway
1.65674 GO:0070495	 negative regulation of thrombin-activated receptor signaling pathway
1.65674 GO:0070455	 positive regulation of heme biosynthetic process
1.65674 GO:0070172	 positive regulation of tooth mineralization
1.65674 GO:0070094	 positive regulation of glucagon secretion
1.65674 GO:0070093	 negative regulation of glucagon secretion
1.65674 GO:0070086	 ubiquitin-dependent endocytosis
1.65674 GO:0070075	 tear secretion
1.65674 GO:0065004	 protein-DNA complex assembly
1.65674 GO:0061889	 negative regulation of astrocyte activation
1.65674 GO:0061713	 anterior neural tube closure
1.65674 GO:0061520	 Langerhans cell differentiation
1.65674 GO:0061357	 positive regulation of Wnt protein secretion
1.65674 GO:0061146	 Peyer's patch morphogenesis
1.65674 GO:0061073	 ciliary body morphogenesis
1.65674 GO:0061055	 myotome development
1.65674 GO:0061033	 secretion by lung epithelial cell involved in lung growth
1.65674 GO:0061009	 common bile duct development
1.65674 GO:0060979	 vasculogenesis involved in coronary vascular morphogenesis
1.65674 GO:0060977	 coronary vasculature morphogenesis
1.65674 GO:0060928	 atrioventricular node cell development
1.65674 GO:0060837	 blood vessel endothelial cell differentiation
1.65674 GO:0060762	 regulation of branching involved in mammary gland duct morphogenesis
1.65674 GO:0060750	 epithelial cell proliferation involved in mammary gland duct elongation
1.65674 GO:0060745	 mammary gland branching involved in pregnancy
1.65674 GO:0060715	 syncytiotrophoblast cell differentiation involved in labyrinthine layer development
1.65674 GO:0060684	 epithelial-mesenchymal cell signaling
1.65674 GO:0060665	 regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling
1.65674 GO:0060638	 mesenchymal-epithelial cell signaling
1.65674 GO:0060571	 morphogenesis of an epithelial fold
1.65674 GO:0060492	 lung induction
1.65674 GO:0060465	 pharynx development
1.65674 GO:0060442	 branching involved in prostate gland morphogenesis
1.65674 GO:0060414	 aorta smooth muscle tissue morphogenesis
1.65674 GO:0060267	 positive regulation of respiratory burst
1.65674 GO:0060266	 negative regulation of respiratory burst involved in inflammatory response
1.65674 GO:0060192	 negative regulation of lipase activity
1.65674 GO:0060166	 olfactory pit development
1.65674 GO:0060084	 synaptic transmission involved in micturition
1.65674 GO:0060066	 oviduct development
1.65674 GO:0060046	 regulation of acrosome reaction
1.65674 GO:0060040	 retinal bipolar neuron differentiation
1.65674 GO:0055092	 sterol homeostasis
1.65674 GO:0051891	 positive regulation of cardioblast differentiation
1.65674 GO:0051835	 positive regulation of synapse structural plasticity
1.65674 GO:0051788	 response to misfolded protein
1.65674 GO:0051707	 response to other organism
1.65674 GO:0051668	 localization within membrane
1.65674 GO:0051343	 positive regulation of cyclic-nucleotide phosphodiesterase activity
1.65674 GO:0051304	 chromosome separation
1.65674 GO:0051231	 spindle elongation
1.65674 GO:0051154	 negative regulation of striated muscle cell differentiation
1.65674 GO:0050856	 regulation of T cell receptor signaling pathway
1.65674 GO:0050855	 regulation of B cell receptor signaling pathway
1.65674 GO:0050651	 dermatan sulfate proteoglycan biosynthetic process
1.65674 GO:0048936	 peripheral nervous system neuron axonogenesis
1.65674 GO:0048880	 sensory system development
1.65674 GO:0048866	 stem cell fate specification
1.65674 GO:0048669	 collateral sprouting in absence of injury
1.65674 GO:0048570	 notochord morphogenesis
1.65674 GO:0048105	 establishment of body hair planar orientation
1.65674 GO:0048050	 post-embryonic eye morphogenesis
1.65674 GO:0046952	 ketone body catabolic process
1.65674 GO:0046633	 alpha-beta T cell proliferation
1.65674 GO:0046477	 glycosylceramide catabolic process
1.65674 GO:0046059	 dAMP catabolic process
1.65674 GO:0045964	 positive regulation of dopamine metabolic process
1.65674 GO:0045939	 negative regulation of steroid metabolic process
1.65674 GO:0045838	 positive regulation of membrane potential
1.65674 GO:0045726	 positive regulation of integrin biosynthetic process
1.65674 GO:0045626	 negative regulation of T-helper 1 cell differentiation
1.65674 GO:0045621	 positive regulation of lymphocyte differentiation
1.65674 GO:0045041	 protein import into mitochondrial intermembrane space
1.65674 GO:0045003	 double-strand break repair via synthesis-dependent strand annealing
1.65674 GO:0044339	 canonical Wnt signaling pathway involved in osteoblast differentiation
1.65674 GO:0044338	 canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation
1.65674 GO:0043932	 ossification involved in bone remodeling
1.65674 GO:0043686	 co-translational protein modification
1.65674 GO:0043506	 regulation of JUN kinase activity
1.65674 GO:0043420	 anthranilate metabolic process
1.65674 GO:0043377	 negative regulation of CD8-positive, alpha-beta T cell differentiation
1.65674 GO:0043318	 negative regulation of cytotoxic T cell degranulation
1.65674 GO:0043281	 regulation of cysteine-type endopeptidase activity involved in apoptotic process
1.65674 GO:0043163	 cell envelope organization
1.65674 GO:0043067	 regulation of programmed cell death
1.65674 GO:0042482	 positive regulation of odontogenesis
1.65674 GO:0042447	 hormone catabolic process
1.65674 GO:0042427	 serotonin biosynthetic process
1.65674 GO:0042423	 catecholamine biosynthetic process
1.65674 GO:0042360	 vitamin E metabolic process
1.65674 GO:0042249	 establishment of planar polarity of embryonic epithelium
1.65674 GO:0042133	 neurotransmitter metabolic process
1.65674 GO:0042093	 T-helper cell differentiation
1.65674 GO:0039689	 negative stranded viral RNA replication
1.65674 GO:0038195	 urokinase plasminogen activator signaling pathway
1.65674 GO:0038189	 neuropilin signaling pathway
1.65674 GO:0038179	 neurotrophin signaling pathway
1.65674 GO:0038160	 CXCL12-activated CXCR4 signaling pathway
1.65674 GO:0038091	 positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway
1.65674 GO:0038089	 positive regulation of cell migration by vascular endothelial growth factor signaling pathway
1.65674 GO:0038028	 insulin receptor signaling pathway via phosphatidylinositol 3-kinase
1.65674 GO:0036315	 cellular response to sterol
1.65674 GO:0036071	 N-glycan fucosylation
1.65674 GO:0035812	 renal sodium excretion
1.65674 GO:0035794	 positive regulation of mitochondrial membrane permeability
1.65674 GO:0035793	 positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway
1.65674 GO:0035771	 interleukin-4-mediated signaling pathway
1.65674 GO:0035754	 B cell chemotaxis
1.65674 GO:0035752	 lysosomal lumen pH elevation
1.65674 GO:0035702	 monocyte homeostasis
1.65674 GO:0035701	 hematopoietic stem cell migration
1.65674 GO:0035494	 SNARE complex disassembly
1.65674 GO:0035434	 copper ion transmembrane transport
1.65674 GO:0035359	 negative regulation of peroxisome proliferator activated receptor signaling pathway
1.65674 GO:0035054	 embryonic heart tube anterior/posterior pattern specification
1.65674 GO:0034776	 response to histamine
1.65674 GO:0034767	 positive regulation of monoatomic ion transmembrane transport
1.65674 GO:0034476	 U5 snRNA 3'-end processing
1.65674 GO:0034473	 U1 snRNA 3'-end processing
1.65674 GO:0034447	 very-low-density lipoprotein particle clearance
1.65674 GO:0034371	 chylomicron remodeling
1.65674 GO:0033693	 neurofilament bundle assembly
1.65674 GO:0033692	 cellular polysaccharide biosynthetic process
1.65674 GO:0033624	 negative regulation of integrin activation
1.65674 GO:0033512	 L-lysine catabolic process to acetyl-CoA via saccharopine
1.65674 GO:0033212	 iron import into cell
1.65674 GO:0032831	 positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
1.65674 GO:0032761	 positive regulation of lymphotoxin A production
1.65674 GO:0032701	 negative regulation of interleukin-18 production
1.65674 GO:0032571	 response to vitamin K
1.65674 GO:0032470	 positive regulation of endoplasmic reticulum calcium ion concentration
1.65674 GO:0032430	 positive regulation of phospholipase A2 activity
1.65674 GO:0032414	 positive regulation of ion transmembrane transporter activity
1.65674 GO:0032368	 regulation of lipid transport
1.65674 GO:0032349	 positive regulation of aldosterone biosynthetic process
1.65674 GO:0032252	 secretory granule localization
1.65674 GO:0032225	 regulation of synaptic transmission, dopaminergic
1.65674 GO:0032224	 positive regulation of synaptic transmission, cholinergic
1.65674 GO:0032100	 positive regulation of appetite
1.65674 GO:0032095	 regulation of response to food
1.65674 GO:0032079	 positive regulation of endodeoxyribonuclease activity
1.65674 GO:0032042	 mitochondrial DNA metabolic process
1.65674 GO:0031664	 regulation of lipopolysaccharide-mediated signaling pathway
1.65674 GO:0031453	 positive regulation of heterochromatin formation
1.65674 GO:0031401	 positive regulation of protein modification process
1.65674 GO:0030886	 negative regulation of myeloid dendritic cell activation
1.65674 GO:0030576	 Cajal body organization
1.65674 GO:0030204	 chondroitin sulfate metabolic process
1.65674 GO:0022602	 ovulation cycle process
1.65674 GO:0022028	 tangential migration from the subventricular zone to the olfactory bulb
1.65674 GO:0021943	 formation of radial glial scaffolds
1.65674 GO:0021934	 hindbrain tangential cell migration
1.65674 GO:0021903	 rostrocaudal neural tube patterning
1.65674 GO:0021897	 forebrain astrocyte development
1.65674 GO:0021891	 olfactory bulb interneuron development
1.65674 GO:0021782	 glial cell development
1.65674 GO:0021575	 hindbrain morphogenesis
1.65674 GO:0021535	 cell migration in hindbrain
1.65674 GO:0021523	 somatic motor neuron differentiation
1.65674 GO:0019856	 pyrimidine nucleobase biosynthetic process
1.65674 GO:0019805	 quinolinate biosynthetic process
1.65674 GO:0019293	 tyrosine biosynthetic process, by oxidation of phenylalanine
1.65674 GO:0019254	 carnitine metabolic process, CoA-linked
1.65674 GO:0019243	 methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
1.65674 GO:0018076	 N-terminal peptidyl-lysine acetylation
1.65674 GO:0017187	 peptidyl-glutamic acid carboxylation
1.65674 GO:0017183	 peptidyl-diphthamide biosynthetic process from peptidyl-histidine
1.65674 GO:0017085	 response to insecticide
1.65674 GO:0016185	 synaptic vesicle budding from presynaptic endocytic zone membrane
1.65674 GO:0016080	 synaptic vesicle targeting
1.65674 GO:0015986	 proton motive force-driven ATP synthesis
1.65674 GO:0015878	 biotin transport
1.65674 GO:0015760	 glucose-6-phosphate transport
1.65674 GO:0015757	 galactose transmembrane transport
1.65674 GO:0014854	 response to inactivity
1.65674 GO:0014809	 regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
1.65674 GO:0014719	 skeletal muscle satellite cell activation
1.65674 GO:0014053	 negative regulation of gamma-aminobutyric acid secretion
1.65674 GO:0014042	 positive regulation of neuron maturation
1.65674 GO:0014028	 notochord formation
1.65674 GO:0014015	 positive regulation of gliogenesis
1.65674 GO:0010988	 regulation of low-density lipoprotein particle clearance
1.65674 GO:0010755	 regulation of plasminogen activation
